Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
6-February-2024,388.80,393.95,361.00,393.95,387.615458937198067632,207000,163,80236400.00,124000,59.90,32.95,5.15
5-February-2024,358.15,358.15,330.00,358.15,354.325000000000000000,514000,338,182123050.00,353000,68.68,28.15,0.00
2-February-2024,325.60,325.60,325.60,325.60,325.600000000000000000,29000,17,9442400.00,29000,100.00,0.00,0.00
1-February-2024,310.10,310.10,310.10,310.10,310.100000000000000000,41000,24,12714100.00,41000,100.00,0.00,0.00
31-January-2024,295.35,295.35,295.35,295.35,295.350000000000000000,9000,9,2658150.00,9000,100.00,0.00,0.00
30-January-2024,281.30,281.30,281.30,281.30,281.300000000000000000,24000,22,6751200.00,24000,100.00,0.00,0.00
29-January-2024,267.95,267.95,267.95,267.95,267.950000000000000000,12000,12,3215400.00,12000,100.00,0.00,0.00
25-January-2024,255.20,255.20,255.20,255.20,255.200000000000000000,15000,15,3828000.00,15000,100.00,0.00,0.00
24-January-2024,243.05,243.05,243.05,243.05,243.050000000000000000,35000,31,8506750.00,35000,100.00,0.00,0.00
23-January-2024,231.50,231.50,231.50,231.50,231.500000000000000000,44000,30,10186000.00,44000,100.00,0.00,0.00
20-January-2024,220.50,220.50,220.50,220.50,220.500000000000000000,23000,23,5071500.00,23000,100.00,0.00,0.00
19-January-2024,200.00,210.00,200.00,210.00,205.447852760736196319,489000,437,100464000.00,489000,100.00,10.00,10.00
